"Codi centre","Denominació completa","Codi naturalesa","Nom naturalesa","Codi titularitat","Nom titularitat","Adreça","Codi postal","Telèfon","FAX","Codi delegació","Nom delegació","Codi comarca","Nom comarca","Codi municipi","Nom municipi","Codi districte municipal","Nom DM","Codi localitat","Nom localitat","Zona educativa","Coordenades UTM X","Coordenades UTM Y","Coordenades GEO X","Coordenades GEO Y","Estudis","E mail centre","Estat","Grups en quarantena","cursos","linies","als_per_classe","num_alumnes","DATAGENERACIO","DATACREACIO","CODIMUNICIPI","ESTAT","GRUP_CONFIN","ALUMN_CONFIN","DOCENT_CONFIN","ALTRES_CONFIN","GRUP_ESTABLE","ALUMN_POSITIU","PERSONAL_POSITIU","ALTRES_POSITIU"
1,"Escola Òrbita",0,"projecteorbita.cat",0,"Projecte Òrbita","c de l'Educació. 0",0,NA,NA,NA,NA,0,NA,8127,"Catalunya",0,NA,0,"Cap",NA,NA,NA,2,41,"Detecció de necessitats específiques d'aprenentatge","info@projecteorbita.cat","Normalitat",0,1,1,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8000013,"Escola Francesc Platón i Sartí",1,"Públic",1,"Dep. Educació","c. Salvador Espriu. 3",8630,"937 700 381","937 700 783",308,"Baix Llobregat",11,"Baix Llobregat",8001,"Abrera",0,NA,14,"Entitat Oest d'Abrera",NA,408249.726,4596518.584,1.900457916,41.515049613,"EINF2C EPRI","a8000013@xtec.cat","Normalitat",0,NA,NA,NA,NA,2020-09-26 07:00:00,"14/09/2020 14:58",8001,"Obert",0,0,0,0,25,0,0,0
8000049,"Escola Fabra",1,"Públic",1,"Dep. Educació","av. del Bosquet. 1",8328,"935 557 803","935 557 961",508,"Maresme - Vallès Oriental",21,"Maresme",8003,"Alella",0,NA,1,"Alella","Maresme Sud",441390.491,4593888.575,2.297838496,41.494473072,"EINF2C EPRI","a8000049@xtec.cat","Normalitat",0,NA,NA,NA,NA,2020-09-26 07:00:00,"09/09/2020 18:39",8003,"Obert",0,0,0,0,0,0,0,0
8000086,"Escola La Forja - ZER Alt Lluçanès",1,"Públic",1,"Dep. Educació","ctra. Lluçanesa. 8",8589,"938 527 007",NA,1060,"Catalunya Central",24,"Osona",8004,"Alpens",0,NA,1,"Alpens","Osona",425613.591,4663545.525,2.10010879,42.120485359,"EINF2C EPRI","a8000086@xtec.cat","Normalitat",0,NA,NA,NA,NA,2020-09-26 07:00:00,"12/09/2020 9:36",8004,"Obert",0,0,0,0,1,0,0,0
8000098,"Escola Bertí",1,"Públic",1,"Dep. Educació","Antic camí de Caldes. s/n",8480,"938 432 778","938 432 778",508,"Maresme - Vallès Oriental",41,"Vallès Oriental",8005,"L'Ametlla del Vallès",0,NA,1,"L'Ametlla del Vallès","Vallès Oriental - Granollers",438404.786,4612998.135,2.260109509,41.666360883,"EINF2C EPRI","a8000098@xtec.cat","Normalitat",0,NA,NA,NA,NA,2020-09-26 07:00:00,"09/09/2020 18:39",8005,"Obert",0,0,0,0,0,0,0,0
8000131,"La Presentació",2,"Privat",24,"Ordes i Cong.","c. Pompeu Fabra. 2",8350,"937 920 241","937 922 252",508,"Maresme - Vallès Oriental",21,"Maresme",8006,"Arenys de Mar",0,NA,1,"Arenys de Mar",NA,462247.557,4603883.674,2.547075835,41.585754015,"EINF2C EPRI ESO BATX CFPM PFI","a8000131@xtec.cat","Normalitat",0,NA,NA,NA,NA,2020-09-26 07:00:00,"14/09/2020 16:11",8006,"Obert",0,0,0,0,37,0,0,0
8000153,"Escola Joan Maragall",1,"Públic",1,"Dep. Educació","c. Riera Sa Clavella. s/n",8350,"937 922 802","937 958 206",508,"Maresme - Vallès Oriental",21,"Maresme",8006,"Arenys de Mar",0,NA,1,"Arenys de Mar",NA,462182.181,4603512.17,2.54631495,41.582404768,"EINF2C EPRI","a8000153@xtec.cat","Normalitat",0,NA,NA,NA,NA,2020-09-26 07:00:00,"18/09/2020 14:31",8006,"Obert",0,0,0,0,30,0,0,0
8000165,"Escola Sant Martí",1,"Públic",1,"Dep. Educació","c. Generalitat. 2",8358,"937 938 070","937 938 070",508,"Maresme - Vallès Oriental",21,"Maresme",8007,"Arenys de Munt",0,NA,1,"Arenys de Munt",NA,461549.887,4606472.086,2.53853995,41.609034581,"EINF2C EPRI","a8000165@xtec.cat","Normalitat",0,NA,NA,NA,NA,2020-09-26 07:00:00,"24/09/2020 16:19",8007,"Obert",0,1,0,1,0,0,0,0
8000189,"Escola Bernat de Riudemeia",1,"Públic",1,"Dep. Educació","c. Bernat de Riudemeia. 27",8310,"937 970 956","937 970 956",508,"Maresme - Vallès Oriental",21,"Maresme",8009,"Argentona",0,NA,1,"Argentona","Maresme Sud",450021.771,4600373.954,2.400699454,41.553471155,"EINF2C EPRI","a8000189@xtec.cat","Normalitat",0,NA,NA,NA,NA,2020-09-26 07:00:00,"12/09/2020 21:31",8009,"Obert",0,0,0,0,13,0,0,0
8000220,"Vedruna Artés",2,"Privat",22,"Fundacions","c. Carme. 16",8271,"938 305 212","938 202 802",1060,"Catalunya Central",7,"Bages",8010,"Artés",0,NA,1,"Artés","Bages",413022.796,4627878.978,1.953085236,41.798004773,"EINF2C EPRI ESO","a8000220@xtec.cat","Normalitat",0,NA,NA,NA,NA,2020-09-26 07:00:00,"09/09/2020 18:39",8010,"Obert",0,0,0,0,0,0,0,0
