"Dia","Casos.alumnes","Alumnes.confinats","Casos.professionals","Professionals.confinats","Grups.confinats","Escoles.amb.grups.confinats","Escoles.tancades"
2020-09-14 07:00:00,23,210,67,253,8,8,2
2020-09-15 07:00:00,45,338,70,275,17,16,2
2020-09-16 07:00:00,54,516,72,285,34,32,3
2020-09-17 07:00:00,NA,NA,NA,NA,66,58,2
2020-09-18 07:00:00,NA,NA,NA,NA,111,89,2
2020-09-21 07:00:00,NA,NA,NA,NA,284,218,2
2020-09-22 07:00:00,NA,NA,NA,NA,461,348,2
2020-09-23 07:00:00,958,9548,152,958,602,438,3
2020-09-24 07:00:00,1153,12471,172,1108,694,495,3
2020-09-25 07:00:00,1314,15114,190,1294,789,546,4
2020-09-26 07:00:00,1583,18860,209,1538,908,617,4
2020-09-26 17:15:10,1559,18549,206,1517,908,617,4
2020-09-28 13:22:05,1922,21627,235,1676,1047,686,4
2020-09-29 10:21:36,2089,24044,255,1771,1127,727,2
2020-09-30 08:34:52,2243,25637,272,1848,1184,761,2
2020-10-01 09:23:55,2449,26892,297,1879,1229.5,796,3
2020-10-02 13:32:31,2775,27938,344,1886,1256,814,2
