NOM;CODI;DATA_INI;DATA_FI;RESIDENCIA;IEPG_CONFIRMAT;R0_CONFIRMAT_M;TAXA_CASOS_CONFIRMAT;CASOS_CONFIRMAT;TAXA_PCR;PCR;PERC_PCR_POSITIVES;INGRESSOS_TOTAL;INGRESSOS_CRITIC;EXITUS
ALT CAMP;01;2020-08-29;2020-09-04;No;161.872;0.897283;73.0743;32;739.8780;324;9.8413;0;0;0
ALT CAMP;01;2020-08-29;2020-09-04;Si;;;201.2072;1;16700.2012;83;1.2048;0;0;0
ALT CAMP;01;2020-08-28;2020-09-03;Si;;;201.2072;1;16700.2012;83;1.2048;0;0;0
ALT CAMP;01;2020-08-28;2020-09-03;No;220.023;1.175;77.6415;34;796.9674;349;10.0000;0;0;0
ALT CAMP;01;2020-08-27;2020-09-02;Si;;;201.2072;1;16700.2012;83;1.2048;0;0;0
ALT CAMP;01;2020-08-27;2020-09-02;No;266.263;1.4395;109.6115;48;895.1611;392;12.5654;1;0;0
ALT CAMP;01;2020-08-26;2020-09-01;Si;;;0.0000;0;603.6217;3;0.0000;0;0;0
ALT CAMP;01;2020-08-26;2020-09-01;No;296.224;1.58195;118.7458;52;865.4746;379;13.7097;2;0;0
ALT CAMP;01;2020-08-25;2020-08-31;No;324.013;1.61237;118.7458;52;902.0118;395;11.9792;3;0;0
ALT CAMP;01;2020-08-25;2020-08-31;Si;;;0.0000;0;603.6217;3;0.0000;0;0;0
ALT CAMP;01;2020-08-24;2020-08-30;Si;;;0.0000;0;804.8289;4;0.0000;0;0;0
ALT CAMP;01;2020-08-24;2020-08-30;No;306.447;1.56042;114.1787;50;915.7132;401;11.5385;3;0;0
ALT CAMP;01;2020-08-23;2020-08-29;Si;;;0.0000;0;1006.0362;5;0.0000;0;0;0
ALT CAMP;01;2020-08-23;2020-08-29;No;291.209;1.50027;111.8951;49;920.2804;403;11.2245;4;0;0
ALT CAMP;01;2020-08-22;2020-08-28;Si;;;0.0000;0;1006.0362;5;0.0000;0;0;0
ALT CAMP;01;2020-08-22;2020-08-28;No;256.3;1.32043;107.3279;47;883.7432;387;11.1702;4;0;0
ALT CAMP;01;2020-08-21;2020-08-27;Si;;;0.0000;0;5030.1810;25;0.0000;0;0;0
ALT CAMP;01;2020-08-21;2020-08-27;No;210.925;1.08666;109.6115;48;979.6533;429;9.7156;4;0;0
ALT CAMP;01;2020-08-20;2020-08-26;No;151.225;0.919764;75.3579;33;881.4596;386;6.8421;3;0;0
ALT CAMP;01;2020-08-20;2020-08-26;Si;;;0.0000;0;5030.1810;25;0.0000;0;0;0
ALT CAMP;01;2020-08-19;2020-08-25;Si;;;0.0000;0;5231.3883;26;0.0000;0;0;0
ALT CAMP;01;2020-08-19;2020-08-25;No;151.9;1.00786;68.5072;30;876.8925;384;7.1618;2;0;0
ALT CAMP;01;2020-08-18;2020-08-24;Si;;;0.0000;0;5432.5955;27;0.0000;0;0;0
ALT CAMP;01;2020-08-18;2020-08-24;No;180.918;1.2379;82.2086;36;904.2954;396;9.4872;1;0;0
ALT CAMP;01;2020-08-17;2020-08-23;Si;;;0.0000;0;5633.8028;28;0.0000;0;0;0
ALT CAMP;01;2020-08-17;2020-08-23;No;198.0;1.35478;82.2086;36;920.2804;403;8.5642;2;0;1
ALT CAMP;01;2020-08-16;2020-08-22;No;207.67;1.44351;82.2086;36;904.2954;396;8.9744;1;0;1
ALT CAMP;01;2020-08-16;2020-08-22;Si;;;0.0000;0;5633.8028;28;0.0000;0;0;0
ALT CAMP;01;2020-08-15;2020-08-21;No;213.657;1.61315;86.7758;38;924.8475;405;9.7500;1;0;1
ALT CAMP;01;2020-08-15;2020-08-21;Si;;;0.0000;0;5835.0100;29;0.0000;0;0;0
ALT CAMP;01;2020-08-14;2020-08-20;Si;;;0.0000;0;1609.6579;8;0.0000;0;0;0
ALT CAMP;01;2020-08-14;2020-08-20;No;264.398;2.18458;84.4922;37;790.1166;346;10.5572;1;0;1
ALT CAMP;01;2020-08-13;2020-08-19;Si;;;0.0000;0;1609.6579;8;0.0000;0;0;0
ALT CAMP;01;2020-08-13;2020-08-19;No;313.658;2.74708;89.0593;39;760.4302;333;11.5854;1;0;1
ALT CAMP;01;2020-08-12;2020-08-18;Si;;;0.0000;0;1408.4507;7;0.0000;0;0;0
ALT CAMP;01;2020-08-12;2020-08-18;No;330.583;3.14708;82.2086;36;742.1616;325;10.3125;1;0;1
ALT CAMP;01;2020-08-11;2020-08-17;No;292.47;3.28398;63.9400;28;707.9080;310;7.4434;1;0;1
ALT CAMP;01;2020-08-11;2020-08-17;Si;;;0.0000;0;1207.2434;6;0.0000;0;0;0
ALT CAMP;01;2020-08-10;2020-08-16;Si;;;0.0000;0;1408.4507;7;0.0000;0;0;0
ALT CAMP;01;2020-08-10;2020-08-16;No;244.734;3.45714;63.9400;28;673.6544;295;9.2150;0;0;0
ALT CAMP;01;2020-08-09;2020-08-15;No;225.095;3.28571;61.6565;27;659.9529;289;9.0592;0;0;0
ALT CAMP;01;2020-08-09;2020-08-15;Si;;;0.0000;0;1408.4507;7;0.0000;0;0;0
ALT CAMP;01;2020-08-08;2020-08-14;Si;;;0.0000;0;1207.2434;6;0.0000;0;0;0
ALT CAMP;01;2020-08-08;2020-08-14;No;157.567;3.0;45.6714;20;611.9978;268;6.3910;0;0;0
ALT CAMP;01;2020-08-07;2020-08-13;Si;;;0.0000;0;1609.6579;8;0.0000;0;0;0
ALT CAMP;01;2020-08-07;2020-08-13;No;104.392;2.28571;36.5371;16;611.9978;268;6.0150;0;0;0
ALT CAMP;01;2020-08-06;2020-08-12;Si;;;0.0000;0;1609.6579;8;0.0000;0;0;0
ALT CAMP;01;2020-08-06;2020-08-12;No;66.5499;1.71429;25.1193;11;564.0428;247;4.5082;0;0;0
ALT CAMP;01;2020-08-05;2020-08-11;No;44.6276;1.08571;22.8357;10;561.7592;246;4.1152;0;0;0
ALT CAMP;01;2020-08-05;2020-08-11;Si;;;0.0000;0;1609.6579;8;0.0000;0;0;0
ALT CAMP;01;2020-08-04;2020-08-10;No;26.9897;0.695238;25.1193;11;452.1477;198;5.6410;0;0;0
ALT CAMP;01;2020-08-04;2020-08-10;Si;;;0.0000;0;1609.6579;8;0.0000;0;0;0
ALT CAMP;01;2020-08-03;2020-08-09;Si;;;0.0000;0;1006.0362;5;0.0000;0;0;0
ALT CAMP;01;2020-08-03;2020-08-09;No;6.45925;0.314286;6.8507;3;433.8791;190;1.5957;0;0;0
ALT CAMP;01;2020-08-02;2020-08-08;Si;;;0.0000;0;804.8289;4;0.0000;0;0;0
ALT CAMP;01;2020-08-02;2020-08-08;No;9.39528;0.457143;6.8507;3;433.8791;190;1.5957;0;0;0
ALT CAMP;01;2020-08-01;2020-08-07;Si;;;0.0000;0;1006.0362;5;0.0000;0;0;0
ALT CAMP;01;2020-08-01;2020-08-07;No;18.2033;0.885714;6.8507;3;529.7892;232;1.3043;1;0;0
ALT CAMP;01;2020-07-31;2020-08-06;No;32.8835;1.6;9.1342;4;495.5356;217;1.3953;1;0;0
ALT CAMP;01;2020-07-31;2020-08-06;Si;;;0.0000;0;804.8289;4;0.0000;0;0;0
ALT CAMP;01;2020-07-30;2020-08-05;No;49.5862;2.17143;13.7014;6;502.3863;220;2.7397;1;0;0
ALT CAMP;01;2020-07-30;2020-08-05;Si;;;0.0000;0;804.8289;4;0.0000;0;0;0
ALT CAMP;01;2020-07-29;2020-08-04;Si;;;0.0000;0;804.8289;4;0.0000;0;0;0
ALT CAMP;01;2020-07-29;2020-08-04;No;57.7744;2.3;18.2685;8;484.1177;212;4.2857;1;0;0
ALT CAMP;01;2020-07-28;2020-08-03;Si;;;0.0000;0;1207.2434;6;0.0000;0;0;0
ALT CAMP;01;2020-07-28;2020-08-03;No;41.7568;2.28571;13.7014;6;532.0728;233;2.5974;1;0;0
ALT CAMP;01;2020-07-27;2020-08-02;Si;;;0.0000;0;1408.4507;7;0.0000;0;0;0
ALT CAMP;01;2020-07-27;2020-08-02;No;52.196;2.28571;13.7014;6;495.5356;217;2.7907;1;0;0
ALT CAMP;01;2020-07-26;2020-08-01;No;48.9337;2.14286;13.7014;6;497.8191;218;2.7778;1;0;0
ALT CAMP;01;2020-07-26;2020-08-01;Si;;;0.0000;0;1408.4507;7;0.0000;0;0;0
ALT CAMP;01;2020-07-25;2020-07-31;Si;;;0.0000;0;1207.2434;6;0.0000;0;0;0
ALT CAMP;01;2020-07-25;2020-07-31;No;40.7781;1.78571;13.7014;6;392.7747;172;3.5294;0;0;0
ALT CAMP;01;2020-07-24;2020-07-30;Si;;;0.0000;0;1207.2434;6;0.0000;0;0;0
ALT CAMP;01;2020-07-24;2020-07-30;No;27.8922;1.35714;11.4178;5;388.2076;170;3.5714;0;0;0
ALT CAMP;01;2020-07-23;2020-07-29;Si;;;0.0000;0;1207.2434;6;0.0000;0;0;0
ALT CAMP;01;2020-07-23;2020-07-29;No;16.9637;0.928571;9.1342;4;374.5061;164;2.4691;0;0;0
ALT CAMP;01;2020-07-22;2020-07-28;Si;;;0.0000;0;1006.0362;5;0.0000;0;0;0
ALT CAMP;01;2020-07-22;2020-07-28;No;15.6588;1.14286;6.8507;3;353.9540;155;0.6452;0;0;0
ALT CAMP;01;2020-07-21;2020-07-27;No;15.4957;1.35714;4.5671;2;308.2825;135;0.7407;0;0;0
ALT CAMP;01;2020-07-21;2020-07-27;Si;;;0.0000;0;402.4144;2;0.0000;0;0;0
ALT CAMP;01;2020-07-20;2020-07-26;Si;;;0.0000;0;402.4144;2;0.0000;0;0;0
ALT CAMP;01;2020-07-20;2020-07-26;No;18.7579;1.64286;9.1342;4;312.8496;137;1.4599;0;0;0
ALT CAMP;01;2020-07-19;2020-07-25;Si;;;0.0000;0;402.4144;2;0.0000;0;0;0
ALT CAMP;01;2020-07-19;2020-07-25;No;22.5095;1.64286;9.1342;4;301.4318;132;1.5152;0;0;0
ALT CAMP;01;2020-07-18;2020-07-24;Si;;;0.0000;0;402.4144;2;0.0000;0;0;0
ALT CAMP;01;2020-07-18;2020-07-24;No;23.4882;1.71429;9.1342;4;283.1632;124;1.6129;0;0;0
ALT CAMP;01;2020-07-17;2020-07-23;No;26.9679;1.47619;9.1342;4;242.0588;106;1.8868;0;0;0
ALT CAMP;01;2020-07-17;2020-07-23;Si;;;0.0000;0;201.2072;1;0.0000;0;0;0
ALT CAMP;01;2020-07-16;2020-07-22;No;20.1716;1.2619;9.1342;4;237.4917;104;0.9709;0;0;0
ALT CAMP;01;2020-07-16;2020-07-22;Si;;;0.0000;0;201.2072;1;0.0000;0;0;0
ALT CAMP;01;2020-07-15;2020-07-21;Si;;;0.0000;0;402.4144;2;0.0000;0;0;0
ALT CAMP;01;2020-07-15;2020-07-21;No;13.3208;0.833333;6.8507;3;239.7752;105;0.9615;0;0;0
ALT CAMP;01;2020-07-14;2020-07-20;Si;;;0.0000;0;402.4144;2;0.0000;0;0;0
ALT CAMP;01;2020-07-14;2020-07-20;No;11.0373;0.690476;6.8507;3;237.4917;104;0.9709;0;0;0
ALT CAMP;01;2020-07-13;2020-07-19;Si;;;0.0000;0;402.4144;2;0.0000;0;0;0
ALT CAMP;01;2020-07-13;2020-07-19;No;6.25264;0.547619;2.2835;1;251.1931;110;0.0000;0;0;0
ALT CAMP;01;2020-07-12;2020-07-18;No;11.146;0.97619;4.5671;2;251.1931;110;0.0000;0;0;0
ALT CAMP;01;2020-07-12;2020-07-18;Si;;;0.0000;0;402.4144;2;0.0000;0;0;0
ALT CAMP;01;2020-07-11;2020-07-17;No;12.7771;1.11905;4.5671;2;260.3274;114;0.0000;0;0;0
ALT CAMP;01;2020-07-11;2020-07-17;Si;;;0.0000;0;402.4144;2;0.0000;0;0;0
ALT CAMP;01;2020-07-10;2020-07-16;Si;;;0.0000;0;402.4144;2;0.0000;0;0;0
ALT CAMP;01;2020-07-10;2020-07-16;No;17.1268;1.5;9.1342;4;244.3424;107;0.0000;0;0;0
ALT CAMP;01;2020-07-09;2020-07-15;Si;;;0.0000;0;402.4144;2;0.0000;0;0;0
ALT CAMP;01;2020-07-09;2020-07-15;No;17.9424;1.57143;6.8507;3;228.3574;100;0.0000;0;0;0
ALT CAMP;01;2020-07-08;2020-07-14;Si;;;0.0000;0;201.2072;1;0.0000;0;0;0
ALT CAMP;01;2020-07-08;2020-07-14;No;19.5735;1.71429;9.1342;4;214.6559;94;1.0638;0;0;0
ALT CAMP;01;2020-07-07;2020-07-13;No;21.5308;1.57143;9.1342;4;198.6709;87;1.1494;0;0;0
ALT CAMP;01;2020-07-07;2020-07-13;Si;;;0.0000;0;201.2072;1;0.0000;0;0;0
ALT CAMP;01;2020-07-06;2020-07-12;Si;;;0.0000;0;603.6217;3;0.0000;0;0;0
ALT CAMP;01;2020-07-06;2020-07-12;No;19.5735;1.42857;9.1342;4;159.8501;70;1.4286;0;0;0
